8231,1932-8-9 00:00:00,HH,,ALISIA,,NORDIN,,,,,F                                  ,D,,,,,Live,,,,,
8232,1953-6-5 00:00:00,PN,,ALYSHA,,BALDING,,,,,F                                  ,S,,,,,Live,,,,,
8233,1961-1-13 00:00:00,PN,,ALESIA,,GADDIS,,,,,F                                  ,M,,,,,Live,,,,,
8234,1953-6-5 00:00:00,HH,,ALESHIA,,CUDDINGTON,,,,,F                                  ,S,,,,,Live,,,,,
8235,1936-11-13 00:00:00,PN,,FLOSSIE,,MAIDLOW,,,,,F                                  ,D,,,,,Live,,,,,
8236,1976-2-27 00:00:00,PN,,ULYSSES,,GIRDLER,,,,,M                                  ,S,,,,,Live,,,,,
8237,1970-7-14 00:00:00,PN,,ALYSA,,HEADLEY,,,,,F                                  ,D,,,,,Live,,,,,
8238,1936-11-13 00:00:00,HH,,ALISE,,BRADLEY,,,,,F                                  ,D,,,,,Live,,,,,
8239,1921-5-3 00:00:00,PN,,ALESHA,,RIDDLE,,,,,F                                  ,S,,,,,Live,,,,,
8240,1974-8-6 00:00:00,PN,,ELISHA,,SMEDLEY,,,,,F                                  ,S,,,,,Live,,,,,
8241,1954-6-11 00:00:00,PN,,ALYSSA,,CORDLE,,,,,F                                  ,D,,,,,Live,,,,,
8242,1921-5-3 00:00:00,HH,,ALYSON,,HUDDLESTON,,,,,F                                  ,S,,,,,Live,,,,,
8243,1966-3-4 00:00:00,PN,,CLETUS,,MC DONALD,,,,,M                                  ,D,,,,,Live,,,,,
8244,1960-12-25 00:00:00,PN,,CLETA,,SANDOVAL,,,,,F                                  ,S,,,,,Live,,,,,
8245,1961-7-2 00:00:00,PN,,ALITA,,SOWDON,,,,,F                                  ,M,,,,,Live,,,,,
8246,1966-3-4 00:00:00,HH,,FLETCHER,,RANDOLPH,,,,,M                                  ,D,,,,,Live,,,,,
8247,1978-7-25 00:00:00,PN,,ILLTUD,,MEADORS,,,,,M                                  ,S,,,,,Live,,,,,
8248,1944-10-10 00:00:00,PN,,ILLTYD,,GORDON,,,,,M                                  ,M,,,,,Live,,,,,
8249,1954-3-8 00:00:00,PN,,FLETA,,RARDON,,,,,F                                  ,M,,,,,Live,,,,,
8250,1943-1-22 00:00:00,PN,,OLETA,,BURDO,,,,,F                                  ,M,,,,,Live,,,,,
8251,1951-10-12 00:00:00,PN,,ALETA,,HENDRIX,,,,,F                                  ,M,,,,,Live,,,,,
8252,1978-7-25 00:00:00,HH,,ALETHA,,LANDRETH,,,,,F                                  ,S,,,,,Live,,,,,
8253,1969-1-6 00:00:00,PN,,ALETHEA,,ALLDRIDGE,,,,,F                                  ,S,,,,,Live,,,,,
8254,1963-1-29 00:00:00,PN,,ALETHIA,,GUIDRY,,,,,F                                  ,M,,,,,Live,,,,,
8255,1969-1-6 00:00:00,HH,,CLOTILDE,,WOODSUM,,,,,F                                  ,S,,,,,Live,,,,,
8256,1969-7-17 00:00:00,PN,,BLYTHE,,HINDS,,,,,F                                  ,D,,,,,Live,,,,,
8257,1969-7-17 00:00:00,HH,,ELOUISE,,BIRDSONG,,,,,F                                  ,D,,,,,Live,,,,,
8258,1938-2-28 00:00:00,PN,,CLAUDE,,WOODS,,,,,F                                  ,S,,,,,Live,,,,,
8259,1975-10-5 00:00:00,PN,,CLAUDE,,LINDSEY,,,,,M                                  ,S,,,,,Live,,,,,
8260,1974-3-9 00:00:00,PN,,CLAUDETTE,,LE DUC,,,,,F                                  ,S,,,,,Live,,,,,
8261,1959-1-11 00:00:00,PN,,CLAUD,,BALDWIN,,,,,M                                  ,M,,,,,Live,,,,,
8262,1938-2-28 00:00:00,HH,,CLAUDIO,,CALDWELL,,,,,M                                  ,S,,,,,Live,,,,,
8263,1962-3-9 00:00:00,PN,,CLAUDIE,,WOODYARD,,,,,F                                  ,D,,,,,Live,,,,,
8264,1966-4-2 00:00:00,PN,,CLAUDINE,,MOODY,,,,,F                                  ,S,,,,,Live,,,,,
8265,1939-3-31 00:00:00,PN,,OLAVE,,BRADY,,,,,M                                  ,S,,,,,Live,,,,,
8266,1958-2-14 00:00:00,PN,,OLIVE,,VANDYKE,,,,,F                                  ,D,,,,,Live,,,,,
8267,1963-6-17 00:00:00,PN,,CLIVE,,HARDY,,,,,M                                  ,M,,,,,Live,,,,,
8268,1962-3-9 00:00:00,HH,,SLYVIA,,EDIC,,,,,F                                  ,D,,,,,Live,,,,,
8269,1970-8-13 00:00:00,PN,,FLAVIA,,DUNCAN,,,,,F                                  ,M,,,,,Live,,,,,
8270,1970-8-13 00:00:00,HH,,OLEVIA,,ZUCCA,,,,,F                                  ,M,,,,,Live,,,,,
8271,1972-3-16 00:00:00,PN,,CLEVELAND,,BRUCE,,,,,M                                  ,D,,,,,Live,,,,,
